season,team,winrate
1963,Montreal Canadiens,0.5918367346938775
1963,Chicago Blackhawks,0.6
1964,Toronto Maple Leafs,0.5666666666666667
1964,Boston Bruins,0.31666666666666665
1964,Detroit Red Wings,0.5081967213114754
1964,New York Rangers,0.3709677419354839
1964,Montreal Canadiens,0.6271186440677966
1964,Chicago Blackhawks,0.6166666666666667
1965,Toronto Maple Leafs,0.5344827586206896
1965,Boston Bruins,0.3333333333333333
1965,Detroit Red Wings,0.6307692307692307
1965,New York Rangers,0.35
1965,Montreal Canadiens,0.6065573770491803
1965,Chicago Blackhawks,0.546875
1966,Toronto Maple Leafs,0.5737704918032787
1966,Boston Bruins,0.3333333333333333
1966,Detroit Red Wings,0.5333333333333333
1966,New York Rangers,0.3114754098360656
1966,Montreal Canadiens,0.65625
1966,Chicago Blackhawks,0.59375
1967,Toronto Maple Leafs,0.5409836065573771
1967,Boston Bruins,0.2903225806451613
1967,Detroit Red Wings,0.4117647058823529
1967,New York Rangers,0.5166666666666667
1967,Montreal Canadiens,0.559322033898305
1967,Chicago Blackhawks,0.7
1968,Los Angeles Kings,0.48484848484848486
1968,Toronto Maple Leafs,0.5151515151515151
1968,Detroit Red Wings,0.4375
1968,Dallas Stars,0.45901639344262296
1968,New York Rangers,0.625
1968,Boston Bruins,0.5757575757575758
1968,St. Louis Blues,0.4666666666666667
1968,Philadelphia Flyers,0.49230769230769234
1968,Oakland Seals,0.2711864406779661
1968,Montreal Canadiens,0.6515151515151515
1968,Chicago Blackhawks,0.55
1968,Pittsburgh Penguins,0.4444444444444444
1969,Los Angeles Kings,0.36764705882352944
1969,Toronto Maple Leafs,0.5714285714285714
1969,Detroit Red Wings,0.5151515151515151
1969,Dallas Stars,0.30158730158730157
1969,New York Rangers,0.6086956521739131
1969,Boston Bruins,0.6935483870967742
1969,St. Louis Blues,0.59375
1969,Philadelphia Flyers,0.3684210526315789
1969,Oakland Seals,0.44776119402985076
1969,Montreal Canadiens,0.7014925373134329
1969,Chicago Blackhawks,0.5072463768115942
1969,Pittsburgh Penguins,0.31343283582089554
1970,Los Angeles Kings,0.22058823529411764
1970,Toronto Maple Leafs,0.46153846153846156
1970,Detroit Red Wings,0.6507936507936508
1970,Dallas Stars,0.35714285714285715
1970,New York Rangers,0.6290322580645161
1970,Boston Bruins,0.6949152542372882
1970,St. Louis Blues,0.5757575757575758
1970,Philadelphia Flyers,0.3333333333333333
1970,Oakland Seals,0.359375
1970,Montreal Canadiens,0.6290322580645161
1970,Chicago Blackhawks,0.6666666666666666
1970,Pittsburgh Penguins,0.4090909090909091
1971,Los Angeles Kings,0.3880597014925373
1971,Toronto Maple Leafs,0.5277777777777778
1971,Detroit Red Wings,0.3333333333333333
1971,Vancouver Canucks,0.3472222222222222
1971,Dallas Stars,0.453125
1971,New York Rangers,0.7246376811594203
1971,Boston Bruins,0.7945205479452054
1971,St. Louis Blues,0.5737704918032787
1971,Buffalo Sabres,0.38461538461538464
1971,Philadelphia Flyers,0.4603174603174603
1971,Oakland Seals,0.28
1971,Montreal Canadiens,0.6417910447761194
1971,Chicago Blackhawks,0.704225352112676
1971,Pittsburgh Penguins,0.36666666666666664
1972,Los Angeles Kings,0.29577464788732394
1972,Toronto Maple Leafs,0.5151515151515151
1972,Detroit Red Wings,0.4857142857142857
1972,Vancouver Canucks,0.2916666666666667
1972,Dallas Stars,0.5588235294117647
1972,New York Rangers,0.7313432835820896
