date,season,location,team1,team2,score1,score2,result,elo_prob1
1923-11-25,1923,H,COL,OOR,27,3,1.0,0.7602677051116606
1923-11-29,1923,H,AKR,BFF,2,0,1.0,0.419927758316731
1923-11-29,1923,H,CHI,ARI,3,0,1.0,0.6785796692187956
1923-11-29,1923,H,GB,HAM,19,0,1.0,0.7589400881551965
1923-11-29,1923,H,RAC,MIL,0,16,0.0,0.6244446521822432
1923-11-29,1923,H,CBD,TOL,28,0,1.0,0.8357022640768825
1923-12-01,1923,H,RCH,BFF,0,13,0.0,0.3698329980079774
1923-12-02,1923,H,COL,DAY,30,3,1.0,0.5718493364062848
1923-12-02,1923,H,CHI,MIL,0,0,0.5,0.7715863572138648
1923-12-02,1923,H,CBD,BFF,14,0,1.0,0.7938998831435725
1923-12-02,1923,H,RAC,MNN,23,0,1.0,0.6195737320530866
1923-12-02,1923,H,ARI,OOR,22,19,1.0,0.8878224105491355
1923-12-09,1923,H,CHI,RII,29,7,1.0,0.7494626435631577
1923-12-09,1923,H,COL,CBD,0,10,0.0,0.2246736111730625
1923-12-09,1923,H,ARI,MIL,12,14,0.0,0.6715136410628891
1923-12-09,1923,H,LOU,OOR,0,19,0.0,0.7220762963488728
1924-09-27,1924,H,FYJ,RCH,21,0,1.0,0.5905954879557427
1924-09-28,1924,H,ARI,MIL,17,7,1.0,0.618076038042448
1924-09-28,1924,H,DUL,GB,6,3,1.0,0.4205434517785988
1924-09-28,1924,H,RAC,HAM,10,0,1.0,0.6681527310030803
1924-09-28,1924,H,RII,CHI,0,0,0.5,0.4457482080267727
1924-10-04,1924,H,FYJ,KEN,31,6,1.0,0.7633917172387165
1924-10-05,1924,H,RII,RAC,9,0,1.0,0.5974116587464605
1924-10-05,1924,H,RCH,AKR,0,3,0.0,0.4801089724524645
1924-10-05,1924,H,CIB,CHI,16,14,1.0,0.3306167440815449
1924-10-05,1924,H,BFF,COL,13,0,1.0,0.681351830981938
1924-10-05,1924,H,MNN,DUL,0,3,0.0,0.6055070732449285
1924-10-05,1924,H,DAY,FYJ,19,7,1.0,0.5897935310909793
1924-10-05,1924,H,ARI,GB,3,0,1.0,0.6416654650646123
1924-10-05,1924,H,MIL,KCB,3,0,1.0,0.822688156485075
1924-10-11,1924,H,FYJ,CIB,3,3,0.5,0.5934429619937068
1924-10-12,1924,H,ARI,MNN,13,0,1.0,0.7663741693889798
1924-10-12,1924,H,CHI,RAC,10,10,0.5,0.7274091564721272
1924-10-12,1924,H,GB,KCB,16,0,1.0,0.8330188880334385
1924-10-12,1924,H,MIL,KEN,21,0,1.0,0.837691392134633
1924-10-12,1924,H,CIB,AKR,29,14,1.0,0.5238668512469032
1924-10-12,1924,H,RCH,COL,7,15,0.0,0.4809567634027148
1924-10-12,1924,H,BFF,DAY,0,7,0.0,0.7013006674182694
1924-10-12,1924,H,RII,HAM,26,0,1.0,0.7305662003597805
1924-10-18,1924,H,FYJ,COL,23,7,1.0,0.5253613389821875
1924-10-19,1924,H,KEN,HAM,6,6,0.5,0.4213699070262079
1924-10-19,1924,H,CHI,ARI,6,0,1.0,0.5988506873663069
1924-10-19,1924,H,RII,DAY,20,0,1.0,0.6412590217042322
1924-10-19,1924,H,RAC,KCB,13,3,1.0,0.8230573264159806
1924-10-19,1924,H,BFF,RCH,26,0,1.0,0.7914934033314801
1924-10-19,1924,H,GB,MIL,17,0,1.0,0.5971001086860028
1924-10-26,1924,H,KCB,RII,23,7,1.0,0.2253049691414675
1924-10-26,1924,H,CIB,RCH,59,0,1.0,0.739809070879
1924-10-26,1924,H,DAY,COL,6,17,0.0,0.6354757194494224
1924-10-26,1924,H,ARI,HAM,3,6,0.0,0.7912291806261261
1924-10-26,1924,H,DUL,KEN,32,0,1.0,0.7941719559430451
1924-10-26,1924,H,MIL,RAC,0,10,0.0,0.5861313944657339
1924-10-26,1924,H,CHI,FYJ,33,3,1.0,0.7650161133901674
1924-10-26,1924,H,GB,MNN,19,0,1.0,0.7527684427052873
