date,season,location,team1,team2,score1,score2,result,implied_probability,accuracy
1923-11-25,1923,H,ARI,RAC,4,10,0.0,0.5625000000000001,0.0
1923-11-25,1923,H,BFF,TOL,3,3,0.5,0.5217391304347826,0.5
1923-11-25,1923,H,GB,DUL,10,0,1.0,0.5669291338582677,1.0
1923-11-25,1923,H,CIB,CBD,10,46,0.0,0.4193548387096774,1.0
1923-11-25,1923,H,CHI,HAM,14,7,1.0,0.7547169811320755,1.0
1923-11-25,1923,H,RII,MNN,6,6,0.5,0.5624999999999999,0.5
1923-11-25,1923,H,COL,OOR,27,3,1.0,0.7800000000000001,1.0
1923-11-29,1923,H,AKR,BFF,2,0,1.0,0.2894736842105263,0.0
1923-11-29,1923,H,CHI,ARI,3,0,1.0,0.5447470817120622,1.0
1923-11-29,1923,H,GB,HAM,19,0,1.0,0.7441860465116279,1.0
1923-11-29,1923,H,RAC,MIL,0,16,0.0,0.4074074074074074,1.0
1923-11-29,1923,H,CBD,TOL,28,0,1.0,0.6486486486486487,1.0
1923-12-01,1923,H,RCH,BFF,0,13,0.0,0.23404255319148928,1.0
1923-12-02,1923,H,COL,DAY,30,3,1.0,0.7105263157894737,1.0
1923-12-02,1923,H,CHI,MIL,0,0,0.5,0.514018691588785,0.5
1923-12-02,1923,H,CBD,BFF,14,0,1.0,0.6285714285714286,1.0
1923-12-02,1923,H,RAC,MNN,23,0,1.0,0.6000000000000001,1.0
1923-12-02,1923,H,ARI,OOR,22,19,1.0,0.806896551724138,1.0
1923-12-09,1923,H,CHI,RII,29,7,1.0,0.6422018348623854,1.0
1923-12-09,1923,H,COL,CBD,0,10,0.0,0.37142857142857133,1.0
1923-12-09,1923,H,ARI,MIL,12,14,0.0,0.4691943127962085,1.0
1923-12-09,1923,H,LOU,OOR,0,19,0.0,0.5652173913043479,0.0
1924-09-27,1924,H,FYJ,RCH,21,0,1.0,0.8780487804878049,1.0
1924-09-28,1924,H,ARI,MIL,17,7,1.0,0.5769230769230769,1.0
