date,team1,team2,moneyline1,moneyline2,implied_prob
2020-11-22,IND,GB,105,-125,0.4675324675324675
2020-11-22,MIN,DAL,275,-335,0.2572062084257206
2020-11-22,LV,KC,-400,320,0.7706422018348623
2020-11-23,TB,LAR,180,-210,0.3452115812917595
2020-11-26,DET,HOU,-160,140,0.5962732919254659
2020-11-26,DAL,WAS,125,-145,0.42888402625820565
2020-11-29,BUF,LAC,185,-215,0.3395311236863379
2020-11-29,NYJ,MIA,-355,295,0.7550141337999732
2020-11-29,NE,ARI,-120,100,0.5217391304347826
2020-11-29,MIN,CAR,130,-150,0.42016806722689076
2020-11-29,IND,TEN,125,-145,0.42888402625820565
2020-11-29,JAC,CLE,-345,285,0.7490483575355985
2020-11-29,CIN,NYG,-280,240,0.7147147147147147
2020-11-29,ATL,LV,-180,160,0.6256684491978609
2020-11-29,LAR,SF,200,-240,0.32075471698113206
2020-11-29,DEN,NO,-1450,850,0.8988580750407831
2020-11-29,TB,KC,-175,155,0.6187175043327556
2020-11-29,GB,CHI,320,-400,0.22935779816513757
2020-11-30,PHI,SEA,-290,245,0.7195253505933118
2020-12-02,PIT,BAL,425,-550,0.18374558303886926
2020-12-06,MIN,JAC,400,-500,0.1935483870967742
2020-12-06,ATL,NO,-145,125,0.5711159737417943
2020-12-06,CHI,DET,140,-159,0.40430846081798316
2020-12-06,MIA,CIN,425,-550,0.18374558303886926
2020-12-06,TEN,CLE,185,-215,0.3395311236863379
2020-12-06,NYJ,LV,-357,300,0.7575596816976127
2020-12-06,HOU,IND,-180,160,0.6256684491978609
2020-12-06,SEA,NYG,450,-600,0.17500000000000002
2020-12-06,ARI,LAR,-145,125,0.5711159737417943
2020-12-06,GB,PHI,330,-410,0.22437307523097227
2020-12-06,LAC,NE,115,-135,0.447405997144217
2020-12-06,KC,DEN,600,-900,0.136986301369863
2020-12-07,PIT,WAS,240,-280,0.2852852852852853
2020-12-07,SF,BUF,110,-130,0.4572564612326044
2020-12-08,BAL,DAL,340,-420,0.21959459459459457
2020-12-10,LAR,NE,195,-230,0.32721864154685176
2020-12-13,CAR,DEN,180,-210,0.3452115812917595
2020-12-13,TB,MIN,260,-320,0.267175572519084
2020-12-13,JAC,TEN,-380,310,0.7644749754661432
2020-12-13,CHI,HOU,-115,-105,0.5108342361863488
2020-12-13,MIA,KC,-345,285,0.7490483575355985
2020-12-13,CIN,DAL,-160,140,0.5962732919254659
2020-12-13,NYG,ARI,-160,140,0.5962732919254659
2020-12-13,LV,IND,-135,115,0.552594002855783
2020-12-13,SEA,NYJ,750,-1200,0.11304347826086955
2020-12-13,LAC,ATL,100,-120,0.4782608695652174
2020-12-13,PHI,NO,-350,290,0.7520661157024794
2020-12-13,DET,GB,-410,330,0.7756269247690277
2020-12-13,SF,WAS,130,-150,0.42016806722689076
2020-12-13,BUF,PIT,110,-130,0.4572564612326044
2020-12-14,CLE,BAL,-175,155,0.6187175043327556
2020-12-17,LV,LAC,155,-175,0.38128249566724437
2020-12-19,DEN,BUF,-245,205,0.6841382467383841
2020-12-19,GB,CAR,360,-440,0.2106084243369735
2020-12-20,BAL,JAC,600,-900,0.136986301369863
2020-12-20,ATL,TB,-270,230,0.7065820777160983
2020-12-20,DAL,SF,-200,175,0.6470588235294118
2020-12-20,MIN,CHI,130,-150,0.42016806722689076
2020-12-20,IND,HOU,305,-370,0.238760477520955
2020-12-20,TEN,DET,330,-410,0.22437307523097227
2020-12-20,MIA,NE,-125,105,0.5324675324675325
2020-12-20,WAS,SEA,-270,230,0.7065820777160983
2020-12-20,ARI,PHI,230,-270,0.2934179222839017
2020-12-20,LAR,NYJ,1000,-1800,0.08755760368663595
2020-12-20,NO,KC,-145,125,0.5711159737417943
2020-12-20,NYG,CLE,-275,235,0.7107039537126325
2020-12-21,CIN,PIT,-1100,700,0.8800000000000001
2020-12-25,NO,MIN,250,-300,0.27586206896551724
2020-12-26,DET,TB,-650,475,0.8328690807799444
2020-12-26,ARI,SF,235,-275,0.2892960462873674
2020-12-26,LV,MIA,-140,120,0.562043795620438
2020-12-27,NYJ,CLE,-300,250,0.7241379310344829
2020-12-27,BAL,NYG,360,-440,0.2106084243369735
