date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-09-16,2023,A,BRH,MUN,0.45530791664800513,-0.4516599732792638,1.0,1,1.0
2023-09-16,2023,A,SHU,TOT,-1.7008825488428898,0.5514806326471557,0.0,0,1.0
2023-09-16,2023,A,MNC,WHU,1.5315896222107068,-0.005646401696906063,1.0,1,1.0
2023-09-16,2023,A,BRE,NEW,0.2263085102701354,1.5997702660249487,0.0,0,1.0
2023-09-16,2023,A,LUT,FUL,-0.9755357594677777,-0.6892702036061209,0.0,0,1.0
2023-09-16,2023,H,WLV,LIV,-0.4057098937418827,1.3163165863944974,0.0,0,1.0
2023-09-16,2023,H,AVA,CRY,0.8920735785193186,-0.3262477811388006,1.0,1,1.0
2023-09-16,2023,H,FUL,LUT,-0.6892702036061209,-0.9755357594677777,1.0,1,1.0
2023-09-16,2023,H,MUN,BRH,-0.4516599732792638,0.45530791664800513,0.0,0,1.0
2023-09-16,2023,H,TOT,SHU,0.5514806326471557,-1.7008825488428898,1.0,1,1.0
2023-09-16,2023,H,WHU,MNC,-0.005646401696906063,1.5315896222107068,0.0,0,1.0
2023-09-16,2023,H,NEW,BRE,1.5997702660249487,0.2263085102701354,1.0,1,1.0
2023-09-17,2023,H,BOU,CHE,-1.3435873566699135,0.39648214780656216,0.5,0,0.5
2023-09-17,2023,A,ARS,EVE,1.1711383750383944,-0.45995338155955806,1.0,1,1.0
2023-09-17,2023,A,CHE,BOU,0.39648214780656216,-1.3435873566699135,0.5,1,0.5
2023-09-17,2023,H,EVE,ARS,-0.45995338155955806,1.1711383750383944,0.0,0,1.0
2023-09-18,2023,A,BUR,NTG,-1.5567750373861282,-0.22519929817047674,0.5,0,0.5
2023-09-18,2023,H,NTG,BUR,-0.22519929817047674,-1.5567750373861282,0.5,1,0.5
2023-09-23,2023,H,BRE,EVE,0.2263085102701354,-0.45995338155955806,0.0,1,0.0
2023-09-23,2023,A,MUN,BUR,-0.4516599732792638,-1.5567750373861282,1.0,1,1.0
2023-09-23,2023,H,MNC,NTG,1.5315896222107068,-0.22519929817047674,1.0,1,1.0
2023-09-23,2023,H,CRY,FUL,-0.3262477811388006,-0.6892702036061209,0.5,1,0.5
2023-09-23,2023,A,FUL,CRY,-0.6892702036061209,-0.3262477811388006,0.5,0,0.5
2023-09-23,2023,A,WLV,LUT,-0.4057098937418827,-0.9755357594677777,0.5,1,0.5
2023-09-23,2023,A,NTG,MNC,-0.22519929817047674,1.5315896222107068,0.0,0,1.0
2023-09-23,2023,A,EVE,BRE,-0.45995338155955806,0.2263085102701354,1.0,0,0.0
2023-09-23,2023,H,BUR,MUN,-1.5567750373861282,-0.4516599732792638,0.0,0,1.0
2023-09-23,2023,H,LUT,WLV,-0.9755357594677777,-0.4057098937418827,0.5,0,0.5
2023-09-24,2023,H,ARS,TOT,1.1711383750383944,0.5514806326471557,0.5,1,0.5
2023-09-24,2023,A,BOU,BRH,-1.3435873566699135,0.45530791664800513,0.0,0,1.0
2023-09-24,2023,A,AVA,CHE,0.8920735785193186,0.39648214780656216,1.0,1,1.0
